agent,phase,action,duration
Array Cable Installation Vessel,ArrayCableInstallation,Delay,126682.0
Array Cable Installation Vessel,ArrayCableInstallation,Lay/Bury Cable,12525.97900141117
Array Cable Installation Vessel,ArrayCableInstallation,Load Cable,150.0
Array Cable Installation Vessel,ArrayCableInstallation,Lower Cable,1386.0
Array Cable Installation Vessel,ArrayCableInstallation,Mobilize,1800.0
Array Cable Installation Vessel,ArrayCableInstallation,Position Onsite,2772.0
Array Cable Installation Vessel,ArrayCableInstallation,Prepare Cable,2772.0
Array Cable Installation Vessel,ArrayCableInstallation,Pull In Cable,15246.0
Array Cable Installation Vessel,ArrayCableInstallation,Terminate Cable,15246.0
Array Cable Installation Vessel,ArrayCableInstallation,Transit,294.9118260869565
Export Cable Installation Vessel,ExportCableInstallation,Delay,47336.0
Export Cable Installation Vessel,ExportCableInstallation,Lay/Bury Cable,8942.4935818345
Export Cable Installation Vessel,ExportCableInstallation,Load Cable,150.0
Export Cable Installation Vessel,ExportCableInstallation,Lower Cable,25.0
Export Cable Installation Vessel,ExportCableInstallation,Mobilize,1800.0
Export Cable Installation Vessel,ExportCableInstallation,Position Onsite,50.0
Export Cable Installation Vessel,ExportCableInstallation,Prepare Cable,25.0
Export Cable Installation Vessel,ExportCableInstallation,Pull In Cable,275.0
Export Cable Installation Vessel,ExportCableInstallation,Pull Winch,10.0
Export Cable Installation Vessel,ExportCableInstallation,Terminate Cable,275.0
Export Cable Installation Vessel,ExportCableInstallation,Tow Plow,10.0
Export Cable Installation Vessel,ExportCableInstallation,Transit,147.45591304347826
Floating Substation Installation Vessel,FloatingSubstationInstallation,Ballast to Operational Draft,300.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Check Mooring Lines,1800.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Connect Mooring Lines,3300.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay,12118.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay: Waiting on Substation Assembly,600.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Mooring Line,672.87
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Suction Pile Anchor,2322.87
Floating Substation Installation Vessel,FloatingSubstationInstallation,Perform Mooring Site Survey,600.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Position Onsite,100.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Tow Substation to Site,565.2476666666666
Floating Substation Installation Vessel,FloatingSubstationInstallation,Transit,339.1486
Mooring System Installation Vessel,MooringSystemInstallation,Delay,58928.0
Mooring System Installation Vessel,MooringSystemInstallation,Install Drag Embedment Anchor,68599.65000000001
Mooring System Installation Vessel,MooringSystemInstallation,Install Mooring Line,18703.65
Mooring System Installation Vessel,MooringSystemInstallation,Load Mooring System,6930.0
Mooring System Installation Vessel,MooringSystemInstallation,Mobilize,4200.0
Mooring System Installation Vessel,MooringSystemInstallation,Perform Mooring Site Survey,16632.0
Mooring System Installation Vessel,MooringSystemInstallation,Position Onsite,8316.0
Mooring System Installation Vessel,MooringSystemInstallation,Transit,9422.9807
Onshore Construction,ExportCableInstallation,Onshore Construction,0.0
Substation Assembly Line 1,FloatingSubstationInstallation,Attach Topside,1200.0
Substation Assembly Line 1,FloatingSubstationInstallation,Substation Substructure Assembly,0.0
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,232848.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,2796.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,2796.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,2796.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9320.0
Towing Group 1,MooredSubInstallation,Delay,52476.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,222121.43186363642
Towing Group 1,MooredSubInstallation,Position Substructure,932.0
Towing Group 1,MooredSubInstallation,Tow Substructure,5824.178545454545
Towing Group 1,MooredSubInstallation,Transit,5338.830333333333
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,2820.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,2820.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,2820.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9400.0
Towing Group 2,MooredSubInstallation,Delay,43217.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,234473.50598484854
Towing Group 2,MooredSubInstallation,Position Substructure,940.0
Towing Group 2,MooredSubInstallation,Tow Substructure,5855.705090909091
Towing Group 2,MooredSubInstallation,Transit,5367.729666666666
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2700.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2700.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2700.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9000.0
Towing Group 3,MooredSubInstallation,Delay,47276.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,225762.9260454546
Towing Group 3,MooredSubInstallation,Position Substructure,900.0
Towing Group 3,MooredSubInstallation,Tow Substructure,5648.6163636363635
Towing Group 3,MooredSubInstallation,Transit,5177.898333333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,98548.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,4660.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
