agent,phase,action,duration
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,232848.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,2796.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,2796.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,2796.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9320.0
Towing Group 1,MooredSubInstallation,Delay,104071.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Assemblies Available,173073.07278571435
Towing Group 1,MooredSubInstallation,Position Substructure,932.0
Towing Group 1,MooredSubInstallation,Tow Substructure,15779.953454545455
Towing Group 1,MooredSubInstallation,Transit,6199.267428571429
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,2778.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,2778.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,2778.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9260.0
Towing Group 2,MooredSubInstallation,Delay,104089.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Assemblies Available,173345.7291168832
Towing Group 2,MooredSubInstallation,Position Substructure,926.0
Towing Group 2,MooredSubInstallation,Tow Substructure,16039.515818181819
Towing Group 2,MooredSubInstallation,Transit,6301.238357142857
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2742.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2742.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2742.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9140.0
Towing Group 3,MooredSubInstallation,Delay,102400.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Assemblies Available,174633.63715584422
Towing Group 3,MooredSubInstallation,Position Substructure,914.0
Towing Group 3,MooredSubInstallation,Tow Substructure,15779.820545454546
Towing Group 3,MooredSubInstallation,Transit,6199.215214285715
Turbine Assembly Line 1,MooredSubInstallation,Delay,92710.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,4897.0
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
