agent,phase,action,duration
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,325416.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,3948.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,3948.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,3948.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",13160.0
Towing Group 1,MooredSubInstallation,Delay,117843.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,252042.51395454552
Towing Group 1,MooredSubInstallation,Position Substructure,1316.0
Towing Group 1,MooredSubInstallation,Tow Substructure,27234.281636363634
Towing Group 1,MooredSubInstallation,Transit,10699.182071428571
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,3864.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,3864.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,3864.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12880.0
Towing Group 2,MooredSubInstallation,Delay,111839.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,256700.81159740264
Towing Group 2,MooredSubInstallation,Position Substructure,1288.0
Towing Group 2,MooredSubInstallation,Tow Substructure,26216.13090909091
Towing Group 2,MooredSubInstallation,Transit,10299.194285714286
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,3810.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,3810.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,3810.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12700.0
Towing Group 3,MooredSubInstallation,Delay,111478.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,257064.37470129877
Towing Group 3,MooredSubInstallation,Position Substructure,1270.0
Towing Group 3,MooredSubInstallation,Tow Substructure,26083.020363636362
Towing Group 3,MooredSubInstallation,Transit,10246.900857142857
Turbine Assembly Line 1,MooredSubInstallation,Delay,128299.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,6793.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,139464.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,20338.5
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,23244.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,15496.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,46488.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,15496.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,23244.0
