agent,phase,action,duration
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,232848.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,2832.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,2832.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,2832.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9440.0
Towing Group 1,MooredSubInstallation,Delay,101687.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,161904.41516883127
Towing Group 1,MooredSubInstallation,Position Substructure,944.0
Towing Group 1,MooredSubInstallation,Tow Substructure,23520.981818181815
Towing Group 1,MooredSubInstallation,Transit,9240.385714285714
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,2748.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,2748.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,2748.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9160.0
Towing Group 2,MooredSubInstallation,Delay,97112.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,163864.80574025982
Towing Group 2,MooredSubInstallation,Position Substructure,916.0
Towing Group 2,MooredSubInstallation,Tow Substructure,22520.71309090909
Towing Group 2,MooredSubInstallation,Transit,8847.422999999999
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2736.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2736.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2736.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9120.0
Towing Group 3,MooredSubInstallation,Delay,95708.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,167347.42085714295
Towing Group 3,MooredSubInstallation,Position Substructure,912.0
Towing Group 3,MooredSubInstallation,Tow Substructure,22504.949818181816
Towing Group 3,MooredSubInstallation,Transit,8841.230285714286
Turbine Assembly Line 1,MooredSubInstallation,Delay,91589.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,4788.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
