agent,phase,action,duration
Array Cable Installation Vessel,ArrayCableInstallation,Delay,196222.0
Array Cable Installation Vessel,ArrayCableInstallation,Lay/Bury Cable,24612.78698802924
Array Cable Installation Vessel,ArrayCableInstallation,Load Cable,630.0
Array Cable Installation Vessel,ArrayCableInstallation,Lower Cable,1937.0
Array Cable Installation Vessel,ArrayCableInstallation,Mobilize,2520.0
Array Cable Installation Vessel,ArrayCableInstallation,Position Onsite,3874.0
Array Cable Installation Vessel,ArrayCableInstallation,Prepare Cable,3874.0
Array Cable Installation Vessel,ArrayCableInstallation,Pull In Cable,21307.0
Array Cable Installation Vessel,ArrayCableInstallation,Terminate Cable,21307.0
Array Cable Installation Vessel,ArrayCableInstallation,Transit,5343.135304347826
Export Cable Installation Vessel,ExportCableInstallation,Delay,108804.0
Export Cable Installation Vessel,ExportCableInstallation,Lay/Bury Cable,25882.021711757112
Export Cable Installation Vessel,ExportCableInstallation,Load Cable,678.0
Export Cable Installation Vessel,ExportCableInstallation,Lower Cable,113.0
Export Cable Installation Vessel,ExportCableInstallation,Mobilize,2520.0
Export Cable Installation Vessel,ExportCableInstallation,Position Onsite,226.0
Export Cable Installation Vessel,ExportCableInstallation,Prepare Cable,35.0
Export Cable Installation Vessel,ExportCableInstallation,Pull In Cable,385.0
Export Cable Installation Vessel,ExportCableInstallation,Pull Winch,14.0
Export Cable Installation Vessel,ExportCableInstallation,Raise Cable,39.0
Export Cable Installation Vessel,ExportCableInstallation,Splice Cable,3744.0
Export Cable Installation Vessel,ExportCableInstallation,Terminate Cable,385.0
Export Cable Installation Vessel,ExportCableInstallation,Tow Plow,14.0
Export Cable Installation Vessel,ExportCableInstallation,Transit,9026.651565217391
Floating Substation Installation Vessel,FloatingSubstationInstallation,Ballast to Operational Draft,420.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Check Mooring Lines,2520.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Connect Mooring Lines,4620.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay,18810.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay: Waiting on Completed Assembly,840.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Mooring Line,852.5400000000001
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Suction Pile Anchor,3162.54
Floating Substation Installation Vessel,FloatingSubstationInstallation,Perform Mooring Site Survey,840.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Position Onsite,140.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Tow Substation to Site,2560.2523333333334
Floating Substation Installation Vessel,FloatingSubstationInstallation,Transit,1536.1514
Mooring System Installation Vessel,MooringSystemInstallation,Delay,96867.0
Mooring System Installation Vessel,MooringSystemInstallation,Install Drag Embedment Anchor,93385.9155
Mooring System Installation Vessel,MooringSystemInstallation,Install Mooring Line,23653.915500000003
Mooring System Installation Vessel,MooringSystemInstallation,Load Mooring System,9685.0
Mooring System Installation Vessel,MooringSystemInstallation,Mobilize,5880.0
Mooring System Installation Vessel,MooringSystemInstallation,Perform Mooring Site Survey,23244.0
Mooring System Installation Vessel,MooringSystemInstallation,Position Onsite,11622.0
Mooring System Installation Vessel,MooringSystemInstallation,Transit,40325.073300000004
Onshore Construction,ExportCableInstallation,Onshore Construction,0.0
Substation Assembly Line 1,FloatingSubstationInstallation,Attach Topside,1680.0
Substation Assembly Line 1,FloatingSubstationInstallation,Substation Substructure Assembly,0.0
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,325416.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,3942.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,3942.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,3942.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",13140.0
Towing Group 1,MooredSubInstallation,Delay,139524.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Assemblies Available,261784.11576190466
Towing Group 1,MooredSubInstallation,Position Substructure,1314.0
Towing Group 1,MooredSubInstallation,Tow Substructure,20971.119285714285
Towing Group 1,MooredSubInstallation,Transit,24466.305833333332
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,3882.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,3882.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,3882.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12940.0
Towing Group 2,MooredSubInstallation,Delay,137918.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Assemblies Available,261634.97373809514
Towing Group 2,MooredSubInstallation,Position Substructure,1294.0
Towing Group 2,MooredSubInstallation,Tow Substructure,20964.66557142857
Towing Group 2,MooredSubInstallation,Transit,24458.7765
