agent,phase,action,duration
Array Cable Installation Vessel,ArrayCableInstallation,Delay,194096.0
Array Cable Installation Vessel,ArrayCableInstallation,Lay/Bury Cable,24612.78698802924
Array Cable Installation Vessel,ArrayCableInstallation,Load Cable,630.0
Array Cable Installation Vessel,ArrayCableInstallation,Lower Cable,1937.0
Array Cable Installation Vessel,ArrayCableInstallation,Mobilize,2520.0
Array Cable Installation Vessel,ArrayCableInstallation,Position Onsite,3874.0
Array Cable Installation Vessel,ArrayCableInstallation,Prepare Cable,3874.0
Array Cable Installation Vessel,ArrayCableInstallation,Pull In Cable,21307.0
Array Cable Installation Vessel,ArrayCableInstallation,Terminate Cable,21307.0
Array Cable Installation Vessel,ArrayCableInstallation,Transit,3950.5676521739133
Export Cable Installation Vessel,ExportCableInstallation,Delay,86458.0
Export Cable Installation Vessel,ExportCableInstallation,Lay/Bury Cable,19256.848881568436
Export Cable Installation Vessel,ExportCableInstallation,Load Cable,516.0
Export Cable Installation Vessel,ExportCableInstallation,Lower Cable,86.0
Export Cable Installation Vessel,ExportCableInstallation,Mobilize,2520.0
Export Cable Installation Vessel,ExportCableInstallation,Position Onsite,172.0
Export Cable Installation Vessel,ExportCableInstallation,Prepare Cable,35.0
Export Cable Installation Vessel,ExportCableInstallation,Pull In Cable,385.0
Export Cable Installation Vessel,ExportCableInstallation,Pull Winch,14.0
Export Cable Installation Vessel,ExportCableInstallation,Raise Cable,25.5
Export Cable Installation Vessel,ExportCableInstallation,Splice Cable,2448.0
Export Cable Installation Vessel,ExportCableInstallation,Terminate Cable,385.0
Export Cable Installation Vessel,ExportCableInstallation,Tow Plow,14.0
Export Cable Installation Vessel,ExportCableInstallation,Transit,4035.4065217391308
Floating Substation Installation Vessel,FloatingSubstationInstallation,Ballast to Operational Draft,420.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Check Mooring Lines,2520.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Connect Mooring Lines,4620.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay,12701.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay: Waiting on Completed Assembly,840.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Mooring Line,852.5400000000001
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Suction Pile Anchor,3162.54
Floating Substation Installation Vessel,FloatingSubstationInstallation,Perform Mooring Site Survey,840.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Position Onsite,140.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Tow Substation to Site,1892.9803333333334
Floating Substation Installation Vessel,FloatingSubstationInstallation,Transit,1135.7882
Mooring System Installation Vessel,MooringSystemInstallation,Delay,86938.0
Mooring System Installation Vessel,MooringSystemInstallation,Install Drag Embedment Anchor,93385.9155
Mooring System Installation Vessel,MooringSystemInstallation,Install Mooring Line,23653.915500000003
Mooring System Installation Vessel,MooringSystemInstallation,Load Mooring System,9685.0
Mooring System Installation Vessel,MooringSystemInstallation,Mobilize,5880.0
Mooring System Installation Vessel,MooringSystemInstallation,Perform Mooring Site Survey,23244.0
Mooring System Installation Vessel,MooringSystemInstallation,Position Onsite,11622.0
Mooring System Installation Vessel,MooringSystemInstallation,Transit,28914.7221
Onshore Construction,ExportCableInstallation,Onshore Construction,0.0
Substation Assembly Line 1,FloatingSubstationInstallation,Attach Topside,1680.0
Substation Assembly Line 1,FloatingSubstationInstallation,Substation Substructure Assembly,0.0
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,325416.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,3954.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,3954.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,3954.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",13180.0
Towing Group 1,MooredSubInstallation,Delay,95965.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Assemblies Available,251778.95409523803
Towing Group 1,MooredSubInstallation,Position Substructure,1318.0
Towing Group 1,MooredSubInstallation,Tow Substructure,15733.624714285714
Towing Group 1,MooredSubInstallation,Transit,18355.895500000002
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,3888.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,3888.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,3888.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12960.0
Towing Group 2,MooredSubInstallation,Delay,94280.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Assemblies Available,256182.3057619047
Towing Group 2,MooredSubInstallation,Position Substructure,1296.0
Towing Group 2,MooredSubInstallation,Tow Substructure,15332.690857142858
Towing Group 2,MooredSubInstallation,Transit,17888.139333333333
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,3780.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,3780.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,3780.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",12600.0
Towing Group 3,MooredSubInstallation,Delay,89105.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Assemblies Available,258024.76642857137
Towing Group 3,MooredSubInstallation,Position Substructure,1260.0
Towing Group 3,MooredSubInstallation,Tow Substructure,14964.862857142856
Towing Group 3,MooredSubInstallation,Transit,17459.006666666668
Turbine Assembly Line 1,MooredSubInstallation,Delay,113173.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,6814.0
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,139464.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,20338.5
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,23244.0
