agent,phase,action,duration
Array Cable Installation Vessel,ArrayCableInstallation,Delay,273777.0
Array Cable Installation Vessel,ArrayCableInstallation,Lay/Bury Cable,31818.869028881283
Array Cable Installation Vessel,ArrayCableInstallation,Load Cable,660.0
Array Cable Installation Vessel,ArrayCableInstallation,Lower Cable,2937.0
Array Cable Installation Vessel,ArrayCableInstallation,Mobilize,3960.0
Array Cable Installation Vessel,ArrayCableInstallation,Position Onsite,5874.0
Array Cable Installation Vessel,ArrayCableInstallation,Prepare Cable,5874.0
Array Cable Installation Vessel,ArrayCableInstallation,Pull In Cable,32307.0
Array Cable Installation Vessel,ArrayCableInstallation,Terminate Cable,32307.0
Array Cable Installation Vessel,ArrayCableInstallation,Transit,4642.242086956522
Export Cable Installation Vessel,ExportCableInstallation,Delay,207009.0
Export Cable Installation Vessel,ExportCableInstallation,Lay/Bury Cable,67615.08090571055
Export Cable Installation Vessel,ExportCableInstallation,Load Cable,528.0
Export Cable Installation Vessel,ExportCableInstallation,Lower Cable,88.0
Export Cable Installation Vessel,ExportCableInstallation,Mobilize,3960.0
Export Cable Installation Vessel,ExportCableInstallation,Position Onsite,176.0
Export Cable Installation Vessel,ExportCableInstallation,Prepare Cable,55.0
Export Cable Installation Vessel,ExportCableInstallation,Pull In Cable,605.0
Export Cable Installation Vessel,ExportCableInstallation,Pull Winch,22.0
Export Cable Installation Vessel,ExportCableInstallation,Raise Cable,16.5
Export Cable Installation Vessel,ExportCableInstallation,Splice Cable,1584.0
Export Cable Installation Vessel,ExportCableInstallation,Terminate Cable,605.0
Export Cable Installation Vessel,ExportCableInstallation,Tow Plow,22.0
Export Cable Installation Vessel,ExportCableInstallation,Transit,4614.862782608696
Floating Substation Installation Vessel,FloatingSubstationInstallation,Ballast to Operational Draft,660.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Check Mooring Lines,3960.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Connect Mooring Lines,7260.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay,23119.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay: Waiting on Substation Assembly,1320.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Mooring Line,1335.096
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Suction Pile Anchor,4965.0960000000005
