,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity,delay color,install color,finish-year
0,0,Project 25,113952,216788.40381819324,233397.45755652443,2042-05-01,2054-01-22 21:00:00,2055-12-15 22:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2055
1,1,Project 24,96432,201786.60007986205,216788.40381819324,2040-05-01,2052-05-07 19:00:00,2054-01-22 21:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2054
2,2,Project 23,78888,187099.04634153086,201786.60007986205,2038-05-01,2050-09-03 20:00:00,2052-05-07 19:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2052
3,3,Project 22,61368,170334.74260319967,187099.04634153086,2036-05-01,2048-10-05 07:00:00,2050-09-03 20:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2050
4,4,Project 21,43824,153598.93886486848,170334.74260319967,2034-05-01,2046-11-07 23:00:00,2048-10-05 07:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2048
5,5,Project 19,131496,137618.6066388035,154061.713277607,2044-05-01,2045-01-11 03:00:00,2046-11-27 06:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
6,6,Project 20,26304,132402.82914865136,153598.93886486848,2032-05-01,2044-06-07 19:00:00,2046-11-07 23:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2046
7,7,Project 18,131496,131496.0,146378.6066388035,2044-05-01,2044-05-01 00:00:00,2046-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2046
8,8,Project 17,122712,122712.0,137618.6066388035,2043-05-01,2043-05-01 00:00:00,2045-01-11 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2045
9,9,Project 3,17520,110240.21943243424,132402.82914865136,2031-05-01,2041-11-27 09:00:00,2044-06-07 19:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2044
10,10,Project 16,113952,113952.0,128858.60663880348,2042-05-01,2042-05-01 00:00:00,2044-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2044
11,11,Project 15,105192,105192.0,120098.60663880348,2041-05-01,2041-05-01 00:00:00,2043-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2043
12,12,Project 14,96432,96432.0,111338.60663880348,2040-05-01,2040-05-01 00:00:00,2042-01-12 03:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2042
13,13,Project 2,8760,89202.85971621712,110240.21943243424,2030-05-01,2039-07-04 19:00:00,2041-11-27 09:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2041
14,14,Project 13,87648,87648.0,102579.10663880348,2039-05-01,2039-05-01 00:00:00,2041-01-12 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2041
15,15,Project 12,78888,78888.0,93819.10663880348,2038-05-01,2038-05-01 00:00:00,2040-01-13 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2040
16,16,Project 1,0,67248.0,89202.85971621712,2029-05-01,2037-01-01 00:00:00,2039-07-04 19:00:00,Port of San Luis,Central CA,1000,#E6B0AA,#C0392B,2039
17,17,Project 11,70128,70128.0,85059.10663880348,2037-05-01,2037-05-01 00:00:00,2039-01-13 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2039
18,18,Project 10,61368,61368.0,76299.10663880348,2036-05-01,2036-05-01 00:00:00,2038-01-13 04:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2038
19,19,Project 9,52584,55262.31662063051,68212.93921824955,2035-05-01,2035-08-20 15:00:00,2037-02-10 05:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2037
20,20,Project 8,43824,46502.31662063051,59452.93921824954,2034-05-01,2034-08-20 15:00:00,2036-02-11 05:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2036
21,21,Project 7,35064,35064.0,55262.31662063051,2033-05-01,2033-05-01 00:00:00,2035-08-20 15:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2035
22,22,Project 6,26304,26304.0,46502.31662063051,2032-05-01,2032-05-01 00:00:00,2034-08-20 15:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2034
23,23,Project 5,8760,8760.0,28982.31662063051,2030-05-01,2030-05-01 00:00:00,2032-08-20 15:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2032
24,24,Project 4,0,0.0,20222.31662063051,2029-05-01,2029-05-01 00:00:00,2031-08-21 15:00:00,Humboldt,Northern CA,1000,#FAD7A0,#F39C12,2031
